anime_name,anime_id,type,episodes,score,rank,popularity,scored_by,likes,aired_from,aired_to,duration,Storyline
Naruto,20,TV,220,7.95,608,8,1507822,63305,2002-10-03T00:00:00+00:00,2007-02-08T00:00:00+00:00,23 min per ep,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes. [Written by MAL Rewrite]"
One Piece,21,TV,,8.6,71,29,946572,141515,1999-10-20T00:00:00+00:00,,24 min,"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King. Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece. [Written by MAL Rewrite]"
Tennis no Ouji-sama,22,TV,178,7.88,731,1126,66035,2834,2001-10-10T00:00:00+00:00,2005-03-23T00:00:00+00:00,22 min per ep,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in. Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be. [Written by MAL Rewrite]"
Ring ni Kakero 1,23,TV,12,6.4,6697,7676,1064,2,2004-10-06T00:00:00+00:00,2004-12-15T00:00:00+00:00,25 min per ep,"In order to fulfill their dead father's wish, the siblings, Takane Kiku and Takane Ryuji aims for the champopn title of the boxing arena. The sister, Kiku, will act as the trainer while her brother, Ryuji, will concentrate on the role of the boxer and learn the Boomerang. His battle with many rivals has led to the growth and maturity of Ryuji. The junior high boxing tournament has began and Ryuji will be fighting with his arch-rival, Kenzaki Jun. The battle begins. (Source: ANN)"
School Rumble,24,TV,26,7.91,676,575,130536,4840,2004-10-05T00:00:00+00:00,2005-03-29T00:00:00+00:00,23 min per ep,"Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight. School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire. [Written by MAL Rewrite]"
Sunabouzu,25,TV,24,7.41,1933,1404,45443,749,2004-10-06T00:00:00+00:00,2005-03-30T00:00:00+00:00,24 min per ep,"The Great Kanto Desert, a sweltering wasteland of nothing but ruins and sand, is all that remains of post-apocalyptic Japan. The once fair population has been left to cling to the inhospitable dunes for survival. At least, that is the case for normal people. For those who have spent a little too long in the Kanto sun, the desert offers a wondrous opportunity to make a name for themselves. One such person is the masked handyman ""Sunabouzu,"" or Desert Punk, who has forged a legendary reputation for always finishing his jobs, no matter the nature or cost. Cunning and ruthless, he has become a force of crude destruction to the other desert people. However, the ""Vixen of the Desert,"" Junko Asagiri, discovers that Sunabouzu is not without his weaknesses—he is easily swayed by his insatiable lust for large-breasted desert babes. Following their chaotic adventures through the Kanto Desert, Sunabouzu features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. And just like them, they have not learned a damn thing. [Written by MAL Rewrite]"
Texhnolyze,26,TV,22,7.77,908,869,44367,3944,2003-04-17T00:00:00+00:00,2003-09-25T00:00:00+00:00,23 min per ep,"Texhnolyze takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City."
Trinity Blood,27,TV,24,7.31,2355,1049,70406,1225,2005-04-29T00:00:00+00:00,2005-10-28T00:00:00+00:00,24 min per ep,"Following Armageddon, an apocalyptic war, mankind faces yet another menace: vampires. The continuous confrontations between the races have split the world into separate factions. The race of vampires, Methuselah, are affiliated with the New Human Empire; whereas the humans, deemed Terrans by the vampires, make up the Vatican Papal State. Furthermore, extremist groups like the Rosenkreuz Order strive to rekindle a war, despite the factions' attempts to avoid direct conflict. To combat terrorist organizations, the Vatican has implemented the AX unit. Led by Cardinal Caterina Sforza, the AX agents investigate vampire-related disturbances with hopes that the Terrans and the Methuselah will one day achieve peaceful coexistence. Amongst the AX unit is priest Abel Nightroad—a seemingly disoriented but gentle-hearted fellow who is a fierce vampire slayer on the battlefield. Joining the unit as his partner is agent Sister Esther Blanchett, a brave and gentle young nun troubled with a tragic past. As the two grow closer, they begin to uncover signs of malicious schemes and dark forces working in the shadows. But the path they walk is riddled with misfortune that might just force them to confront the memories that plague their hearts. [Written by MAL Rewrite]"
Yakitate!! Japan,28,TV,69,7.93,638,1803,34457,821,2004-10-12T00:00:00+00:00,2006-03-14T00:00:00+00:00,24 min per ep,"While countries such as France, England, and Germany all have their own internationally celebrated bread, Japan simply does not have one that can match in reputation. Thus after discovering the wonders of breadmaking at a young age, Kazuma Azuma embarks on a quest to create Japan's own unique national bread. And being blessed with unusually warm hands that allow dough to ferment faster, Azuma is able to bring his baking innovations to another level. As he begins working at the prestigious Japanese bakery chain, Pantasia, Azuma encounters other talented bakers and experiences firsthand the competitive world of baking. Along with his newfound friends and rivals, Azuma strives to create new and unparalleled bread that will start a baking revolution. [Written by MAL Rewrite]"
Zipang,29,TV,26,7.5,1651,4150,6163,157,2004-10-08T00:00:00+00:00,2005-04-01T00:00:00+00:00,24 min per ep,"Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942—The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain anonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined. (Source: ANN)"
Neon Genesis Evangelion,30,TV,26,8.33,204,49,816885,81443,1995-10-04T00:00:00+00:00,1996-03-27T00:00:00+00:00,24 min per ep,"Fifteen years after a cataclysmic event known as the Second Impact, the world faces a new threat: monstrous celestial beings called ""Angels"" invade Tokyo-3 one by one. Mankind is unable to defend themselves against the Angels despite utilizing their most advanced munitions and military tactics. The only hope for human salvation rests in the hands of NERV, a mysterious organization led by the cold Gendou Ikari. NERV operates giant humanoid robots dubbed ""Evangelions"" to combat the Angels with state-of-the-art advanced weaponry and protective barriers known as Absolute Terror Fields. Years after being abandoned by his father, Shinji Ikari, Gendou's 14-year-old son, returns to Tokyo-3. Shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. Terrified to open himself up to another, Shinji's life is forever changed upon meeting 29-year-old Misato Katsuragi, a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced. A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01, a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion, Shinji defends Tokyo-3 against the angelic threat, oblivious to his father's dark machinations. [Written by MAL Rewrite]"
Neon Genesis Evangelion: Death & Rebirth,31,Movie,1,7.45,1779,832,118805,547,1997-03-15T00:00:00+00:00,,1 hr 44 min,"In the year 2015, more than a decade has passed since the catastrophic event known as Second Impact befell mankind. During this time of recovery, a select few learned of beings known as the Angels—colossal malevolent entities with the intention of triggering the Third Impact and wiping out the rest of humanity. Called into the city of Tokyo-3 by his father Gendou Ikari, teenager Shinji is thrust headlong into humanity's struggle. Separated from Gendou since the death of his mother, Shinji presumes that his father wishes to repair their shattered familial bonds; instead, he discovers that he was brought to pilot a giant machine capable of fighting the Angels, Evangelion Unit-01. Forced to battle against wave after wave of mankind's greatest threat, the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever. [Written by MAL Rewrite]"
Neon Genesis Evangelion: The End of Evangelion,32,Movie,1,8.54,91,175,469505,21360,1997-07-19T00:00:00+00:00,,1 hr 26 min,"Shinji Ikari is left emotionally comatose after the death of a dear friend. With his son mentally unable to pilot the humanoid robot Evangelion Unit-01, Gendou Ikari's NERV races against the shadow organization SEELE to see who can enact their ultimate plan first. SEELE desires to create a godlike being by fusing their own souls into an Evangelion unit, while Gendou wishes to revert all of humanity into one primordial being so that he can be reunited with Yui, his deceased wife. SEELE unleashes its military forces in a lethal invasion of NERV headquarters. As SEELE's forces cut down NERV's scientists and security personnel, Asuka Langley Souryuu pilots Evangelion Unit-02 in a desperate last stand against SEELE's heaviest weaponry. The battle rages on, and a depressed Shinji hides deep within NERV's headquarters. With the fate of the world resting in Shinji's hands, Captain Misato Katsuragi hunts for the teenage boy as society crumbles around them. [Written by MAL Rewrite]"
Kenpuu Denki Berserk,33,TV,25,8.51,105,330,256523,19860,1997-10-08T00:00:00+00:00,1998-04-01T00:00:00+00:00,25 min per ep,"Born from the corpse of his mother, a young mercenary known only as Guts embraces the battlefield as his only means of survival. Day in and day out, putting his life on the line just to make enough to get by, he moves from one bloodshed to the next. After a run-in with the Band of the Hawk, a formidable troop of mercenaries, Guts is recruited by their charismatic leader Griffith, nicknamed the ""White Hawk."" As he quickly climbed the ranks in order to become the head of the offensive faction, Guts proves to be a mighty addition to Griffith's force, taking Midland by storm. However, while the band's quest for recognition continues, Guts slowly realizes that the world is not as black-and-white as he once assumed. Set in the medieval era, Kenpuu Denki Berserk is a dark, gritty tale that follows one man's struggle to find his own path, while supporting another's lust for power, and the unimaginable tragedy that begins to turn the wheels of fate. [Written by MAL Rewrite]"
Koukaku Kidoutai,43,Movie,1,8.28,247,309,275786,10380,1995-11-18T00:00:00+00:00,,1 hr 22 min,"In the year 2029, Niihama City has become a technologically advanced metropolis. Due to great improvements in cybernetics, its citizens are able to replace their limbs with robotic parts. The world is now more interconnected than ever before, and the city's Public Security Section 9 is responsible for combating corruption, terrorism, and other dangerous threats following this shift toward globalization. The strong-willed Major Motoko Kusanagi of Section 9 spearheads a case involving a mysterious hacker known only as the ""Puppet Master,"" who leaves a trail of victims stripped of their memories. Like many in this futuristic world, the Puppet Master's body is almost entirely robotic, giving them incredible power. As Motoko and her subordinates follow the enigmatic criminal's trail, other parties—including Section 6—start to get involved, forcing her to confront the extremely complicated nature of the case. Pondering about various philosophical questions, such as her own life's meaning, Motoko soon realizes that the one who will provide these answers is none other than the Puppet Master themself. [Written by MAL Rewrite]"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,44,OVA,4,8.72,42,722,122653,5617,1999-02-20T00:00:00+00:00,1999-09-22T00:00:00+00:00,30 min per ep,"When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute. Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions. [Written by MAL Rewrite]"
Rurouni Kenshin: Meiji Kenkaku Romantan,45,TV,94,8.3,234,380,193784,9087,1996-01-10T00:00:00+00:00,1998-09-08T00:00:00+00:00,25 min per ep,"In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans. Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels. Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals? [Written by MAL Rewrite]"
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,46,Movie,1,7.56,1444,2591,25051,84,1997-12-20T00:00:00+00:00,,1 hr 31 min,"The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta. (Source: ANN)"
Akira,47,Movie,1,8.16,350,211,402496,10197,1988-07-16T00:00:00+00:00,,2 hr 4 min,"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns."" During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees. [Written by MAL Rewrite]"
.hack//Sign,48,TV,26,6.96,3919,1052,73977,1236,2002-04-04T00:00:00+00:00,2002-09-26T00:00:00+00:00,24 min per ep,"A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the Crimson Knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way. As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand. [Written by MAL Rewrite]"
Aa! Megami-sama!,49,OVA,5,7.31,2360,2526,24739,226,1993-02-21T00:00:00+00:00,1994-05-17T00:00:00+00:00,30 min per ep,"When college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in."
Aa! Megami-sama! (TV),50,TV,24,7.34,2204,1220,68857,1043,2005-01-07T00:00:00+00:00,2005-07-08T00:00:00+00:00,24 min per ep,"In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted. Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance. [Written by MAL Rewrite]"
Tenshi Kinryouku,51,OVA,3,6.3,7196,2632,25521,174,2000-05-25T00:00:00+00:00,2000-08-25T00:00:00+00:00,29 min per ep,"Setsuna Mudo is a 16-year-old high school student just trying to get by without running afoul of his bullying seniors. It doesn't help that he's in love with his younger sister, Sara, who only sees him once a month. But there's more to his life than just keeping his head down. Setsuna is ambushed by mysterious beings, angels, and demons, all professing to know his true destiny. The angels say he is the reincarnation of their leader Alexiel, while the demons claim he led them to war against God himself. As Setsuna struggles with his identity in such strange times, the eternal conflict between Heaven and Hell threatens to reignite. Will he be prepared when it does?"
Kidou Tenshi Angelic Layer,52,TV,26,7.26,2611,2423,25631,259,2001-04-01T00:00:00+00:00,2001-09-23T00:00:00+00:00,24 min per ep,"12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation."
Ai Yori Aoshi,53,TV,24,7.12,3252,1623,47752,413,2002-04-11T00:00:00+00:00,2002-09-26T00:00:00+00:00,23 min per ep,"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place."
Appleseed (Movie),54,Movie,1,7.08,3413,2085,39271,155,2004-04-17T00:00:00+00:00,,1 hr 45 min,"Growing out of the chaos of a global war, the city of Utopia is populated by humans and bioroids (artificial humans). On the surface, everything is harmonious, but tensions lurk. Into this seemingly perfect society comes a survivor of the wars, Deunan Knute, who carries a legacy that will turn out to be of critical importance to the future of humanity. (Source: ANN)"
Arc the Lad,55,TV,26,6.52,6004,4530,5136,12,1999-04-05T00:00:00+00:00,1999-09-11T00:00:00+00:00,22 min per ep,"The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies. (Source: ANN)"
