,Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
21,True,,Godmoney,1999,R,10 Nov 1999,99 min,"Crime, Drama, Thriller",Darren Doane,"Sean Atkins, Darren Doane, Sean Christopher Nelson","Rick Rodney, Bobby Field, Christi Allen","A streetwise young man tries to leave his sordid past behind him, but his past returns to haunt him when he meets a small-time drug dealer.",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMjA4ODI5NTc2OV5BMl5BanBnXkFtZTcwNjM4ODQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",NaN,4.6,193,tt0119208,movie,16 Nov 1999,NaN,NaN,NaN
22,True,,Hellblock 13,1999,Not Rated,08 Feb 2000,90 min,"Horror, Thriller",Paul Talbot,"Jeff Miller, Michael R. Smith, Paul Talbot","Gunnar Hansen, Debbie Rochon, Jon Miller","In a haunted death row cellblock, a deranged female serial killer reads a trio of twisted tales to her executioner.",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMzU0MTAyMTIwOV5BMl5BanBnXkFtZTgwNjg4ODk1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",NaN,4.2,381,tt0119277,movie,08 Feb 2000,NaN,Millman Productions,NaN
23,True,,As Bodas de Deus,1999,NaN,15 Oct 1999,150 min,Comedy,João César Monteiro,João César Monteiro,"Rita Durão, João César Monteiro, Joana Azevedo","After receiving a visit from a messenger of God, João de Deus wins his buddy's girlfriend through a roll of the dice.","French, Portuguese","France, Portugal",1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTMzMTE4OTM4NV5BMl5BanBnXkFtZTYwNDkwODc5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",NaN,7.2,715,tt0119413,movie,NaN,NaN,"Madragoa Filmes, Gémini Films, Instituto do Cinema, Audiovis, Radiotelevisão Portuguesa (RTP) [pt]",NaN
24,True,,Liar's Poker,1999,R,29 Oct 1999,93 min,Crime,Jeff Santo,Jeff Santo,"Richard Tyson, Jimmy Blondell, Flea","Based on the book by Michael Lewis, describes the author's experiences as a salesman in Wall Street during the 80's.",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTI4NDU3OTU4OV5BMl5BanBnXkFtZTcwNDUwMjUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",NaN,3.6,103,tt0119529,movie,NaN,NaN,NaN,NaN
25,True,,Mal,1999,NaN,25 Feb 2000,85 min,Drama,Alberto Seixas Santos,Alberto Seixas Santos,"Pauline Cadell, Rui Morisson, Alexandre Pinto","This film about contemporary life in Lisbon concerns an Irish woman, Cathy, who dearly loves her Portugese lawyer husband Pedro. Though, unbeknownst to her, he engages in one tryst after another. Cathy soon finds herself trying to he","Portuguese, English","Portugal, Ireland, Spain, Brazil",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZDk1ZDY0NmQtYjU2OS00YzMyLThiOGQtMmQzYzQyZTIxMTY4XkEyXkFqcGdeQXVyNDEyMjI2MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",NaN,6.1,147,tt0119603,movie,NaN,NaN,New World,NaN
26,True,,Morella,1999,R,21 Sep 1999,88 min,"Sci-Fi, Thriller",James Glenn Dudelson,"Ana Clavell, Edgar Allan Poe","Lisa Blair, Lisa Darr, Nicholas Guest","The time is the early 21st century and a genetics lab has been destroyed in a fire seriously injuring a scientist and possibly killing his daughter. As two investigators begin to unravel the story of the lab and its experiments, they",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTg2MTUwOTY4OF5BMl5BanBnXkFtZTcwMzMxMzYxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",NaN,3.5,98,tt0119705,movie,NaN,NaN,NaN,NaN
27,True,,My Girlfriend's Boyfriend,1999,Not Rated,19 Sep 2006,81 min,"Comedy, Romance",Kenneth Schapiro,Kenneth Schapiro,"Sean Runnette, Debbie Gibson, Jill Novick",My Girlfriend's Boyfriend,English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTgzMzIzODEzN15BMl5BanBnXkFtZTcwNjk0NjcxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",NaN,4.9,217,tt0119740,movie,19 Sep 2006,NaN,NaN,NaN
28,True,,Nachtvlinder,1999,NaN,02 Sep 1999,92 min,"Family, Fantasy",Herman van Veen,Herman van Veen,"Arthur Kristel, Babette van Veen, Ramses Shaffy, Hans Trentelman",NaN,Dutch,Netherlands,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",NaN,4.9,54,tt0119751,movie,NaN,NaN,NaN,NaN
29,True,,Night of the Coyote,1999,NaN,04 Feb 1999,93 min,Thriller,Ivan Entel,"Ivan Entel, Joy Stout","Sacha Alter, Cecilia Dopazo, Zeile Entel",NaN,English,"Argentina, United States",NaN,https://m.media-amazon.com/images/M/MV5BNjQ1NzZmZjQtMzA2YS00YmQ4LWE2NDItNTQ0ZDFjMTc5MzliXkEyXkFqcGdeQXVyODUwMjUwMjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",NaN,8.0,50,tt0119786,movie,NaN,NaN,NaN,NaN
30,True,,Hinter dem Regenbogen,1999,NaN,09 Sep 1999,90 min,"Adventure, Drama",Jan Peter,"Jan Peter, Yury Winterberg","Pascal Ulli, Annett Renneberg, Mareike Fell","Astrud, Iris und Marie sind um die fünfzehn, nicht gerade schüchtern und fürchten nichts mehr als Langeweile. Das Trio verbindet eine Vorliebe für makabre Wetten, und als sie feststellen, für den gleichen Mann zu schwärmen, beschließ",German,Germany,NaN,https://m.media-amazon.com/images/M/MV5BMzZlODViM2QtYWJmZi00NWViLTgxNjItMTBkOGZhNDQxNTU3XkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",NaN,5.0,115,tt0119849,movie,NaN,NaN,NaN,NaN
31,True,,Predators from Beyond Neptune,1999,NaN,31 Dec 1999,80 min,Comedy,Scott Mabbutt,"Tony Ferriter, Scott Mabbutt, Aaron McNally","Tim Caldwell, Neve Campbell, Dean Devlin","Producer Leslie Miller and director David Johnson finally score a considerable budget for a science fiction film after years of working on shoestring allocations, but more money does not miraculously make a bad filmmaker churn out a ",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BYWNlMWJjNmQtOWNmMi00N2I3LWE4NGItZGM5Yzc2NDZiMDQ2XkEyXkFqcGdeQXVyMTI2MTIzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",NaN,5.2,152,tt0119936,movie,NaN,NaN,NaN,NaN
32,True,,En släkting till älvorna,1999,NaN,26 Feb 1999,93 min,Documentary,Kirsi Nevanti,Kirsi Nevanti,"Freddie Wadling, Tom Benson, Daniel Dohber","About Swedish singer Freddie Wadling (1951-2016), his expressive sensitive voice, offbeat look and odd way of life.",Swedish,Sweden,NaN,https://m.media-amazon.com/images/M/MV5BYWFhOTUwNmQtYWExZC00NGQ3LThkMDMtZDNlMzUyNDg2YzdhXkEyXkFqcGdeQXVyNDcwMzU5NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",NaN,6.2,82,tt0120150,movie,NaN,NaN,NaN,NaN
33,True,,Three Kings,1999,R,01 Oct 1999,114 min,"Action, Adventure, Comedy",David O. Russell,"John Ridley, David O. Russell","George Clooney, Mark Wahlberg, Ice Cube","In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.","English, Arabic",United States,8 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BZjQ5MzM1ZGItZDQyYi00ZDQ5LWJkMDQtYTIxZmIwNWQ5NmUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.1,"166,067",tt0120188,movie,11 Apr 2000,"$60,652,036",NaN,NaN
34,True,,Say You'll Be Mine,1999,R,05 Jun 1999,96 min,"Comedy, Romance",Brad Kane,Brad Kane,"Nicky Katt, Libby Langdon, Daniel Lapaine","A young man has a long-time obsession with his best friend's fiancée. Sensing something amiss with her friend, she tries to set him up with her best friend, a bubbly actress. While attracted to the new woman in his life, he invariabl",English,United States,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",NaN,6.5,85,tt0120223,movie,NaN,NaN,NaN,NaN
35,True,,Townies,1999,Not Rated,08 Nov 1999,69 min,"Comedy, Horror",Wayne Alan Harold,Wayne Alan Harold,"P. Craig Russell, Lori Scarlett, Jeremy Maes","Welcome to Schlarb, Ohio... a small county seat overrun by misfits, freaks and weirdos! Dickie is a lonely dumpster-driver who finds companionship in his latest dumpster discovery, a young woman's corpse! Pricey is a mute intellectua",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTY4NjgwNjIxOF5BMl5BanBnXkFtZTcwNDI3MDUxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",NaN,4.4,192,tt0120361,movie,NaN,NaN,NaN,NaN
36,True,,Toy Story 2,1999,G,24 Nov 1999,92 min,"Animation, Adventure, Comedy","John Lasseter, Ash Brannon, Lee Unkrich","John Lasseter, Pete Docter, Ash Brannon","Tom Hanks, Tim Allen, Joan Cusack","When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","English, Arabic, Spanish",United States,Nominated for 1 Oscar. 21 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.9,"550,039",tt0120363,movie,23 Mar 2010,"$245,852,179",NaN,NaN
37,True,,True Heart,1999,PG,15 Jun 1999,92 min,"Adventure, Drama, Family",Catherine Cyran,Catherine Cyran,"Kirsten Dunst, Zachery Ty Bryan, August Schellenberg","A brother and sister are plane-wrecked in Canada, where they must rely on the help of a native and his bear.",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMzU1NjU4MDc0NV5BMl5BanBnXkFtZTgwMjk3MjgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",NaN,5.2,"1,057",tt0120381,movie,01 Apr 2003,NaN,NaN,NaN
38,True,,Dementia,1999,R,04 Apr 1999,86 min,Thriller,Zeph E. Daniel,"Zeph E. Daniel, Rick Fry","Marisol Padilla Sánchez, Patricia Bursiel, Matt Schulze","An heiress who is being treated for a mental breakdown becomes attracted to her nurse, who seems to be similarly inclined. The nurse's ex-husband shows up and demonstrates his capacity for all things sadistic and psychotic, even murd",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BNmZlNTQ0MGItNTkzNi00ZGY5LWIyMGItYjg0ZGNiNmUyNGMxXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",NaN,6.8,770,tt0120416,movie,22 May 2017,NaN,NaN,NaN
39,True,,Velocity Trap,1999,R,14 Mar 2000,86 min,"Action, Sci-Fi",Phillip J. Roth,"Patrick Phillips, Phillip J. Roth","Olivier Gruner, Alicia Coppola, Ken Olandt",A cop framed for murder is the only one not in cryosleep when a team of thieves boards the armored treasury spaceship he's on to steal its load - 40 billion universal dollars - and then ram the ship into a comet to cover their tracks,English,United States,NaN,https://m.media-amazon.com/images/M/MV5BOTA3MjIyNjA1OF5BMl5BanBnXkFtZTcwOTI5MDIyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",NaN,4.5,825,tt0120435,movie,29 Mar 2021,NaN,NaN,NaN
40,True,,Virus,1999,R,15 Jan 1999,99 min,"Action, Horror, Sci-Fi",John Bruno,"Chuck Pfarrer, Dennis Feldman","Jamie Lee Curtis, Donald Sutherland, William Baldwin","After outrunning a typhoon at sea, a strong-willed tugboat navigator and her crew discover a high-tech alien life form that's taken control of a Russian research vessel and aims to destroy on a massive scale.","English, Russian","United States, United Kingdom, Germany, Japan, France",NaN,https://m.media-amazon.com/images/M/MV5BNGRiMmNmZGMtOGMwZi00MjMwLTkzZTQtNDViODE2ZmFiZWUzXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",19,5.0,"27,536",tt0120458,movie,17 Aug 1999,"$14,036,005",NaN,NaN
41,True,,My X-Girlfriend's Wedding Reception,1999,R,09 Jan 1999,85 min,"Comedy, Music",Martin Guigui,Martin Guigui,"Debbie Gibson, Dom DeLuise, Mo Gaffney","The bride's ex-boyfriend is a member of the band, a collection of musical misfits, at an Italian-Jewish wedding.",English,United States,4 wins,https://m.media-amazon.com/images/M/MV5BMTk1MzUxMDkyOF5BMl5BanBnXkFtZTcwMTEzMTY5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",NaN,4.4,143,tt0120488,movie,25 Oct 2005,NaN,NaN,NaN
42,True,,When Justice Fails,1999,R,01 Jan 1999,91 min,"Drama, Mystery, Thriller",Allan A. Goldstein,Tony Kayden,"Jeff Fahey, Carl Marotte, Marlee Matlin",A detective (Jeff Fahey) investigating the murders of two sex offenders gets involved with a beautiful district attorney (Marlee Matlin) who becomes a main suspect.,English,"Canada, United States",NaN,https://m.media-amazon.com/images/M/MV5BMTgyMjM3MTg1Ml5BMl5BanBnXkFtZTcwNzg5NTYzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",NaN,4.7,399,tt0120500,movie,24 Jul 2006,NaN,NaN,NaN
43,True,,The Autumn Heart,1999,PG-13,11 Aug 2000,110 min,Drama,Steven Maler,Davidlee Willson,"Tyne Daly, Marla Sucharetza, Marceline Hugot","When a school bus driving woman (Tyne Daly) has a heart attack, she makes one request of her three daughters (Ally Sheedy, Marla Sucharetza, Marceline Hugo) - she wants them to find their long lost brother, who was taken away by thei",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTczNjA5NDk0N15BMl5BanBnXkFtZTcwNTkwNDIyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",NaN,6.4,224,tt0120593,movie,06 Oct 2003,"$11,532",Film Cellar,NaN
44,True,,The Bachelor,1999,PG-13,05 Nov 1999,101 min,"Comedy, Romance",Gary Sinyor,"Roi Cooper Megrue, Jean C. Havez, Clyde Bruckman","Chris O'Donnell, Renée Zellweger, Artie Lange","A commitment-phobic man goes in search of a bride, including his fed-up girlfriend, to inherit his grandfather's one hundred million dollar inheritance.","English, Spanish",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BODgxMGM0N2ItOWFlNi00MGUzLTkzMDctNGE2NTlkMGI1YWU5XkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.1,"18,244",tt0120596,movie,11 Oct 2005,"$21,760,240",NaN,NaN
45,True,,Being John Malkovich,1999,R,03 Dec 1999,113 min,"Comedy, Drama, Fantasy",Spike Jonze,Charlie Kaufman,"John Cusack, Cameron Diaz, Catherine Keener",A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,English,United States,Nominated for 3 Oscars. 48 wins & 79 nominations total,https://m.media-amazon.com/images/M/MV5BYmUxY2MyOTQtYjRlMi00ZWEwLTkzODctZDMxNDcyNTFhYjNjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,7.7,"323,867",tt0120601,movie,27 Jan 2009,"$22,863,596",NaN,NaN
46,True,,Beowulf,1999,R,01 Apr 1999,95 min,"Action, Adventure, Fantasy",Graham Baker,"Anonymous, Mark Leahy, David Chappe","Christopher Lambert, Rhona Mitra, Oliver Cotton","In a besieged land, Beowulf must battle against the hideous creature Grendel and his vengeance seeking mother.",English,"United Kingdom, United States, Romania",3 nominations,https://m.media-amazon.com/images/M/MV5BZDk0N2Q5ZDktNWMyZC00NGI1LThmMWEtNTE3YjM0Nzg5YzAyXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",NaN,4.1,"11,662",tt0120604,movie,17 Oct 2000,NaN,NaN,NaN
47,True,,The Best of Enemies,1999,NaN,NaN,NaN,Drama,Billy Kent,"Osha Gray Davidson, J. Marina Muhlfriedel",NaN,NaN,English,United States,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",NaN,4.4,17,tt0120606,movie,NaN,NaN,NaN,NaN
48,True,,Big Helium Dog,1999,Unrated,NaN,89 min,Comedy,Brian Lynch,Brian Lynch,"Matt Kawczynski, Michael Linstroth, Kevin Smith",NaN,English,United States,NaN,https://m.media-amazon.com/images/M/MV5BYjQzZjk3NTktOGIzZS00M2Q2LTlhNTItYmI0YzA5MTVjMzZlXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",NaN,5.2,398,tt0120608,movie,NaN,NaN,NaN,NaN
49,True,,A Walk on the Moon,1999,R,23 Apr 1999,107 min,"Drama, Romance",Tony Goldwyn,Pamela Gray,"Diane Lane, Viggo Mortensen, Bobby Boriello",The world of a young housewife is turned upside down when she has an affair with a free-spirited blouse salesman.,English,United States,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BZTVjZTFiYjctZWU4ZS00YTk2LWE5ZDItYTRkZDZkZjUzMTRkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.6,"8,441",tt0120613,movie,02 Jan 2007,"$4,750,660",NaN,NaN
50,True,,The Mummy,1999,PG-13,07 May 1999,124 min,"Action, Adventure, Fantasy",Stephen Sommers,"Stephen Sommers, Lloyd Fonvielle, Kevin Jarre","Brendan Fraser, Rachel Weisz, John Hannah","At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.","English, Egyptian (Ancient), Arabic, Chinese, Hebrew, Hungarian","United States, United Kingdom, Morocco",Nominated for 1 Oscar. 5 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BOTJiYjBhZDgtMjhiOC00MTIzLThlNGMtMmI1NjIwM2M3YTI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,7.0,"407,810",tt0120616,movie,09 Apr 2002,"$155,385,488",NaN,NaN
